날짜,종가_OIL_GSL,전일대비_OIL_GSL,등략율_OIL_GSL
2018.10.07,1670.38,1.23,+ 0.07%
2018.10.06,1669.15,2.38,+ 0.14%
2018.10.05,1666.77,2.91,+ 0.17%
2018.10.04,1663.86,2.01,+ 0.12%
2018.10.03,1661.85,1.98,+ 0.12%
2018.10.02,1659.87,2.77,+ 0.17%
2018.10.01,1657.1,2.1,+ 0.13%
2018.09.30,1655.0,0.75,+ 0.05%
2018.09.29,1654.25,1.43,+ 0.09%
2018.09.28,1652.82,1.41,+ 0.09%
2018.09.27,1651.41,0.96,+ 0.06%
2018.09.26,1650.45,0.25,+ 0.02%
2018.09.25,1650.2,0.58,+ 0.04%
2018.09.24,1649.62,0.58,+ 0.04%
2018.09.23,1649.04,1.23,+ 0.07%
2018.09.22,1647.81,2.11,+ 0.13%
2018.09.21,1645.7,1.7,+ 0.10%
2018.09.20,1644.0,1.58,+ 0.10%
2018.09.19,1642.42,1.5,+ 0.09%
2018.09.18,1640.92,1.72,+ 0.10%
2018.09.17,1639.2,1.3,+ 0.08%
2018.09.16,1637.9,0.88,+ 0.05%
2018.09.15,1637.02,1.7,+ 0.10%
2018.09.14,1635.59,2.23,+ 0.14%
2018.09.13,1633.36,1.86,+ 0.11%
2018.09.12,1631.5,1.39,+ 0.09%
2018.09.11,1630.11,1.63,+ 0.10%
2018.09.10,1628.48,0.74,+ 0.05%
2018.09.09,1627.74,0.49,+ 0.03%
2018.09.08,1627.25,0.78,+ 0.05%
2018.09.07,1626.47,1.22,+ 0.08%
2018.09.06,1625.25,1.14,+ 0.07%
2018.09.05,1624.11,0.92,+ 0.06%
2018.09.04,1623.19,0.71,+ 0.04%
2018.09.03,1622.48,0.51,+ 0.03%
2018.09.02,1621.97,0.29,+ 0.02%
2018.09.01,1621.68,0.81,+ 0.05%
2018.08.31,1620.87,0.15,+ 0.01%
2018.08.30,1620.72,0.2,+ 0.01%
2018.08.29,1620.52,0.17,+ 0.01%
2018.08.28,1620.35,0.3,+ 0.02%
2018.08.27,1620.05,0.14,+ 0.01%
2018.08.26,1619.91,0.09,+ 0.01%
2018.08.25,1619.82,0.07,+ 0.00%
2018.08.24,1619.75,0.06,+ 0.00%
