회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
비에이치아이,83650,일반 목적용 기계 제조업,"보일러,열교환기등",2005-12-02,12월,"우종인, 조원래 (각자 대표이사)",http://www.bhi.co.kr,경상남도
사람인에이치알,143240,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","온라인 채용광고(취업포털), 인재파견, 취업지원 등",2012-02-21,12월,김용환,http://www.saramin.co.kr,서울특별시
삼원테크,73640,기타 금속 가공제품 제조업,유압용 관이음쇠,2004-01-06,12월,이종석,http://www.samwon-tech.com,경상남도
상보,27580,전자부품 제조업,"광학필름,윈도우필름,미디어필름",2007-10-01,12월,김상근,http://www.sangbogroup.com,경기도
상신전자,263810,전자부품 제조업,"노이즈필터(48.81%), 코일(19.33%), 리액터(10.75%)",2017-10-16,12월,김승천,http://www.sangshin-e.com,경상남도
새로닉스,42600,전자부품 제조업,"광학시트, FFC",2002-10-01,12월,허제홍,http://www.seronics.co.kr,경상북도
서원인텍,93920,통신 및 방송 장비 제조업,휴대폰용키패드및부자재,2007-12-20,12월,김재윤,http://seowonintech.co.kr,경기도
서호전기,65710,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",항만크레인 구동전기장치,2002-07-16,12월,김승남,http://www.seoho.co.kr,경기도
성호전자,43260,전자부품 제조업,필름 콘덴서,2001-11-29,12월,박현남,http://www.sungho.net,서울특별시
세원물산,24830,자동차 신품 부품 제조업,라디에이터서포터,1994-12-29,12월,"김문기, 김도현",http://www.se-won.co.krcompanyindex.asp?go=com_g,경상북도
셀트리온제약,68760,의약품 제조업,무선인터넷서비스및플랫폼,2006-02-03,12월,서정수,http://www.celltrionph.com,충청북도
수산아이앤티,50960,소프트웨어 개발 및 공급업,"공유단말접속관리서비스, 보안솔루션 등",2016-10-11,12월,"정석현,이성권(각자대표)",http://www.soosanint.co.kr,서울특별시
슈프리마에이치큐,94840,통신 및 방송 장비 제조업,지문인식솔루션및시스템,2008-07-11,12월,이재원,,경기도
스튜디오드래곤,253450,"영화, 비디오물, 방송프로그램 제작 및 배급업","드라마 제작, 판매",2017-11-24,12월,최진희,http://www.studiodragon.net,서울특별시
